TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
top.bilibililike.iot.adapter.InfoRecyAdapter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.15021008403361344,153,2
top.bilibililike.iot.adapter.DeviceRecyAdapter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.14465725806451613,313,2
top.bilibililike.iot.utils.Status,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,5,5
top.bilibililike.iot.utils.ViewPagerAdapter,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.20833333333333331,61,2
top.bilibililike.iot.utils.ToastUtil,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8625,15,10
top.bilibililike.iot.utils.animation.FlipCardAnimation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2828125,271,2
top.bilibililike.iot.utils.AppBarStateChangeListener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.25,55,0
top.bilibililike.iot.utils.MyApp,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5833333333333333,21,8
top.bilibililike.iot.utils.OnDoubleClickListener,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.36367276795775777,133,15
top.bilibililike.iot.widget.fragment.MainFragment,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.1404320987654321,491,2
top.bilibililike.iot.widget.fragment.MineFragment_ViewBinding,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4136904761904762,35,6
top.bilibililike.iot.widget.fragment.MainFragment_ViewBinding,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4136904761904762,35,6
top.bilibililike.iot.widget.fragment.SituationFragment,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.1875,30,2
top.bilibililike.iot.widget.fragment.NotLoginFragment_ViewBinding,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4375,23,6
top.bilibililike.iot.widget.MainActivity,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.16125,576,2
top.bilibililike.iot.widget.MainActivity_ViewBinding,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.45592948717948717,32,8
top.bilibililike.iot.widget.LoginActivity_ViewBinding,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4409722222222222,46,8
top.bilibililike.iot.widget.fragment.NotLoginFragment,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.1875,31,2
top.bilibililike.iot.widget.fragment.MineFragment,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.1638888888888889,91,2
top.bilibililike.iot.widget.LoginActivity,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.15462962962962962,823,2
top.bilibililike.iot.base.BaseFragment,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.125,30,0
top.bilibililike.iot.base.BaseActivity,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.125,49,0
top.bilibililike.iot.bean.DeviceBean,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.96875,105,102
top.bilibililike.iot.bean.ClimateBean,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.96875,116,113
top.bilibililike.iot.bean.PostBackBean,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,39,39
top.bilibililike.iot.bean.UserBean,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.856547619047619,116,95
top.bilibililike.iot.view.BgView,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.3660714285714286,134,6
top.bilibililike.iot.view.NotMoveViewPager,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.18125,490,4
